         334652780 function calls (317930857 primitive calls) in 499.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      340    0.006    0.000   41.324    0.122 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_cog/invoice.py:244(_get_taxes)
    39762    0.944    0.000   40.577    0.001 /home/nidhal/workspace/coog/trytond/trytond/perf_analyzer.py:230(log_db)
      170    0.002    0.000   40.343    0.237 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_cog/invoice.py:136(update_taxes)
      170    0.003    0.000   40.341    0.237 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:845(update_taxes)
1553/1379    0.024    0.000   39.652    0.029 /home/nidhal/workspace/coog/trytond/trytond/model/fields/one2many.py:107(set)
2152721/2152186   16.355    0.000   38.128    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1171(__init__)
44925/44457    0.098    0.000   36.076    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/fields/function.py:86(<genexpr>)
      341    0.042    0.000   34.345    0.101 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:249(copy)
    80518    0.474    0.000   30.677    0.000 /home/nidhal/workspace/coog/trytond/trytond/cache.py:143(get)
  3383006   12.097    0.000   30.217    0.000 /home/nidhal/.virtualenvs/coog/lib/python2.7/_abcoll.py:526(update)
     1022    0.013    0.000   29.534    0.029 <string>:1(_validate__account_move)
    23587    0.179    0.000   28.919    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:915(validate_domain)
32624/32415    0.241    0.000   28.601    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/fields/field.py:81(wrapper)
      341    0.008    0.000   27.885    0.082 <string>:1(create__account_move)
      341    0.020    0.000   27.877    0.082 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:259(create)
     2075    0.028    0.000   27.470    0.013 <string>:1(read__account_invoice)
  3416014    5.556    0.000   27.239    0.000 /home/nidhal/workspace/coog/trytond/trytond/config.py:87(getint)
      686    0.008    0.000   27.133    0.040 <string>:1(read__account_invoice_line)
      344    0.015    0.000   26.884    0.078 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/move.py:121(write)
      344    0.029    0.000   26.469    0.077 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1401(write)
     2829    0.083    0.000   25.278    0.009 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:944(validate_relation_domain)
 33922573   12.740    0.000   24.473    0.000 {isinstance}
    28731    0.068    0.000   23.306    0.001 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1734(get_amount)
     3248    0.128    0.000   21.956    0.007 <string>:1(search__account_move_line)
   279856    0.792    0.000   21.407    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:608(send_command)
   279856    1.034    0.000   21.194    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:678(parse_response)
  3416014    2.527    0.000   21.164    0.000 /usr/lib/python2.7/ConfigParser.py:358(getint)
      340    0.007    0.000   20.325    0.060 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice_dunning/invoice.py:16(get_dunning_procedure)
