         338383121 function calls (321309617 primitive calls) in 477.753 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    83561    0.216    0.000   14.993    0.000 /usr/lib/python2.7/dist-packages/simplejson/decoder.py:363(decode)
   283523    1.095    0.000   14.946    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/_compat.py:32(_retryable_call)
5184/5183    0.045    0.000   14.898    0.003 <string>:1(read__account_move_line)
    83561    0.744    0.000   14.669    0.000 /usr/lib/python2.7/dist-packages/simplejson/decoder.py:376(raw_decode)
  3577473    4.424    0.000   14.663    0.000 /home/nidhal/workspace/coog/trytond/trytond/config.py:79(get)
      340    0.005    0.000   14.405    0.042 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:810(taxable_lines)
5319526/5315698   11.578    0.000   14.066    0.000 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/model.py:246(__setattr__)
      170    0.001    0.000   13.939    0.082 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurer/account.py:41(copy)
      170    0.001    0.000   13.937    0.082 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/account.py:27(copy)
      170    0.001    0.000   13.936    0.082 /home/nidhal/workspace/coog/trytond/trytond/modules/account_payment/account.py:107(copy)
      170    0.006    0.000   13.935    0.082 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1452(copy)
    80814    0.477    0.000   13.810    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/msgpack/fallback.py:86(unpackb)
   283878    0.342    0.000   13.686    0.000 /home/nidhal/workspace/coog/trytond/trytond/pyson.py:133(_object_hook)
        5    0.006    0.001   13.566    2.713 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1036(bulk_set_number)
   283523   13.289    0.000   13.289    0.000 {method 'recv_into' of '_socket.socket' objects}
      170    0.024    0.000   13.268    0.078 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1051(_bulk_set_number)
   206262    0.130    0.000   13.249    0.000 /home/nidhal/workspace/coog/trytond/trytond/pyson.py:171(eval)
    28057    0.023    0.000   13.108    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1524(get)
    28057    0.085    0.000   13.085    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1500(__getitem__)
    31983    0.877    0.000   12.896    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:449(browse)
       11    0.000    0.000   12.648    1.150 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/event.py:21(notify_events)
       11    0.002    0.000   12.647    1.150 /home/nidhal/workspace/coog/trytond/trytond/modules/event_log/event_log.py:114(notify_events)
      170    0.002    0.000   12.472    0.073 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/invoice.py:193(_get_move_line)
      170    0.009    0.000   12.462    0.073 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:284(_get_move_line)
      338    0.006    0.000   12.394    0.037 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:130(get_taxes_included)
    81543    0.131    0.000   12.299    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1961(hget)
1575398/80814    3.284    0.000   12.257    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/msgpack/fallback.py:497(_fb_unpack)
      170    0.002    0.000   12.004    0.071 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:420(get_cancelled_in_rebill)
        3    0.000    0.000   11.670    3.890 <string>:1(create__account_move_reconciliation)
        3    0.001    0.000   11.670    3.890 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/account.py:261(create)
  3412437    7.311    0.000   11.450    0.000 /home/nidhal/.virtualenvs/coog/lib/python2.7/abc.py:128(__instancecheck__)
        1    0.002    0.002   11.445   11.445 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:853(invoice)
        1    0.000    0.000   11.278   11.278 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:869(invoice_periods)
  1578409    4.009    0.000   11.193    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/fields/many2one.py:68(get_target)
    28731    0.317    0.000   11.181    0.000 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1721(on_change_with_amount)
      170    0.004    0.000   10.570    0.062 /home/nidhal/workspace/coog/trytond/trytond/ir/sequence.py:200(write)
   283090    1.308    0.000   10.320    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:582(send_packed_command)
        5    0.001    0.000   10.281    2.056 /home/nidhal/workspace/coog/trytond/trytond/modules/event_log/event_log.py:69(create_event_logs)
29306/29050    0.813    0.000   10.275    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/sql/__init__.py:549(__str__)
3022029/1672058    6.385    0.000   10.271    0.000 /home/nidhal/workspace/coog/trytond/trytond/cache_utils.py:11(freeze)
    40098    0.246    0.000   10.190    0.000 /home/nidhal/workspace/coog/trytond/trytond/ir/rule.py:160(domain_get)
      346    0.005    0.000   10.091    0.029 <string>:1(_validate__account_invoice)
        5    0.000    0.000   10.065    2.013 <string>:1(create__event_log)
  3577473    7.270    0.000    9.821    0.000 /usr/lib/python2.7/ConfigParser.py:326(get)
2180748/2179828    5.389    0.000    9.581    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/model.py:345(__init__)
   566615    0.969    0.000    9.473    0.000 /usr/lib/python2.7/socket.py:223(meth)
   283090    5.111    0.000    9.460    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:632(pack_command)
        5    0.000    0.000    9.408    1.882 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_waiting/invoice.py:24(create_commissions)
  3803954    3.481    0.000    9.280    0.000 {method 'update' of 'dict' objects}
  1724107    4.562    0.000    8.944    0.000 /home/nidhal/workspace/coog/trytond/trytond/transaction.py:137(set_context)
        1    0.000    0.000    8.572    8.572 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement_insurance_invoice/endorsement.py:139(reconcile_after_endorsement)
        1    0.000    0.000    8.570    8.570 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:1257(reconcile)
        5    0.005    0.001    8.268    1.654 <string>:1(_validate__event_log)
   283092    8.207    0.000    8.207    0.000 {method 'sendall' of '_socket.socket' objects}
246192/160344    0.828    0.000    7.938    0.000 {map}
     2266    0.018    0.000    7.619    0.003 /home/nidhal/workspace/coog/trytond/trytond/res/user.py:366(get_preferences)
        1    0.000    0.000    7.459    7.459 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/commission.py:204(cancel)
        3    0.001    0.000    7.268    2.423 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:519(create)
      507    0.004    0.000    7.257    0.014 /home/nidhal/workspace/coog/trytond/trytond/modules/account/tax.py:1086(_round_taxes)
      452    0.001    0.000    7.179    0.016 /home/nidhal/workspace/coog/trytond/trytond/modules/event_log/event_log.py:65(models_get)
      452    0.003    0.000    7.178    0.016 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/utils.py:88(models_get)
      452    0.002    0.000    7.172    0.016 /home/nidhal/workspace/coog/trytond/trytond/ir/property.py:30(models_get)
